"M2_6","Inflation_m","Inflation_y","GDP_m","Unemployment","PPI_y","PMI_comp_6","PMI_comp","Ruble_rate","Urals_cost","Budget_balance","Government_spending_growth","Inflation_expectantions","Anchor","Was","Key_rate","Date","M2","Toughness","Exceeding","PPI_y_3","GDP_m_6","Inflation_m_3","Real_ruble_rate","Iflation_us","Real_ruble_rate","hh-index","Nominal_wage","Wage_pressure","Nairy","Un_gap","Government_growth_corrected","credit_economy","credit_economy_mom_pct","credit_economy_yoy_pct","credit_economy_delta_mom_pp","credit_economy_delta_yoy_pp","claims_to_organizations_trn_rub","claims_to_organizations_mom_pct","claims_to_organizations_yoy_pct","claims_to_organizations_delta_mom_pp","claims_to_organizations_delta_yoy_pp","claims_to_households_trn_rub","claims_to_households_mom_pct","claims_to_households_yoy_pct","claims_to_households_delta_mom_pp","claims_to_households_delta_yoy_pp"
"1.35","-0.40","15.10","-3.80","3.90","6.10","0.27","52.20","59.20","85.00","-2.10","25.90","10.80","0.00","1.00","8.00","8/28/2022","1.70","-3.05","11.10","12.23","-1.77","-0.22","8.70","8.52","-31.86","5.10","62200.00","0.54","4.13","-0.23","10.80","89.30","-1.40","8.80","-0.10","-2.20","62.50","-2.10","7.40","-0.40","-2.20","26.90","0.40","12.10","0.60","-2.20"
"1.60","-0.50","14.30","-2.80","3.80","3.80","1.00","50.40","60.20","80.00","-2.10","25.90","12.00","0.00","1.00","7.50","9/28/2022","3.50","-2.68","10.30","7.07","-2.90","-0.42","11.00","8.26","-28.73","5.00","59907.00","3.02","4.10","-0.30","11.60","91.20","2.20","9.80","3.60","1.00","64.10","2.60","9.20","4.70","1.80","27.10","1.00","11.20","0.60","-0.90"
"1.62","0.10","13.70","-4.40","3.90","3.80","1.37","51.50","59.40","78.00","-2.10","25.90","12.50","1.00","1.00","7.50","10/28/2022","2.40","-3.43","9.70","4.57","-3.88","-0.27","12.80","8.20","-28.26","5.00","61879.00","2.35","4.05","-0.15","12.20","92.90","1.80","10.00","-0.40","0.20","65.50","2.10","9.90","-0.50","0.70","27.40","1.00","10.30","0.00","-0.90"
"1.67","0.20","12.60","-2.90","3.90","0.80","-0.77","45.80","61.80","74.00","-2.10","25.90","12.80","0.00","0.00","7.50","11/28/2022","0.70","-4.18","8.60","2.80","-3.82","-0.07","13.70","7.75","-19.89","4.80","62470.00","4.61","4.02","-0.12","13.30","93.30","0.50","9.10","-1.30","-0.90","65.50","0.00","8.70","-2.10","-1.20","27.80","1.50","10.10","0.50","-0.20"
"1.73","0.40","12.00","-2.00","3.70","-1.90","-0.90","50.00","60.90","65.00","-2.10","25.90","12.20","0.00","1.00","7.50","12/28/2022","1.20","-4.40","8.00","0.90","-3.50","0.23","14.70","7.11","-27.06","4.60","63060.00","4.24","3.98","-0.28","13.90","95.90","2.70","10.70","2.20","1.60","67.70","3.50","11.20","3.50","2.50","28.10","1.00","9.40","-0.50","-0.70"
"2.50","0.80","11.90","-3.00","3.70","-3.30","-2.07","48.00","69.30","55.00","-2.10","25.90","12.10","0.00","0.00","7.50","1/28/2023","5.50","-4.88","7.90","-1.47","-3.15","0.47","15.00","6.45","-12.40","4.30","88468.00","4.43","3.94","-0.24","14.00","96.80","1.00","10.10","-1.70","-0.60","68.30","0.90","10.30","-2.60","-0.90","28.40","1.20","9.80","0.20","0.40"
"2.18","0.80","11.80","-2.60","3.60","-4.60","-0.77","49.70","69.40","52.00","-1.90","3.90","11.60","1.00","1.00","7.50","2/28/2023","-0.20","-4.90","7.80","-3.27","-2.95","0.67","15.10","6.41","-16.42","4.50","63260.00","-0.66","3.90","-0.30","-7.90","99.50","2.80","12.10","1.80","2.00","70.70","3.40","13.20","2.50","2.90","28.80","1.30","9.40","0.10","-0.40"
"1.95","0.50","11.00","-2.60","3.50","-7.50","0.27","53.10","75.20","52.00","-1.90","3.90","12.20","0.00","1.00","7.50","3/28/2023","2.10","-4.68","7.00","-5.13","-2.92","0.70","13.00","6.04","-19.16","4.00","65094.00","0.11","3.87","-0.37","-7.10","99.40","-0.10","11.20","-2.90","-0.90","70.50","-0.30","12.10","-3.70","-1.10","28.90","0.50","8.90","-0.80","-0.50"
"1.72","0.40","3.50","-0.60","3.50","-10.70","3.20","56.80","78.20","56.00","-1.90","3.90","10.70","1.00","1.00","7.50","4/28/2023","1.00","-4.53","-0.50","-7.60","-2.28","0.57","19.60","4.98","-25.82","3.60","71334.00","0.96","3.84","-0.34","0.40","101.50","2.10","9.90","2.20","-1.30","72.30","2.60","10.70","2.90","-1.40","29.20","0.90","8.10","0.40","-0.80"
"1.57","0.40","2.30","3.40","3.30","-9.00","5.00","55.10","80.30","64.00","-1.90","3.90","10.40","0.00","0.00","7.50","5/28/2023","-0.20","-4.15","-1.70","-9.07","-1.23","0.43","12.50","4.93","10.16","3.20","71204.00","9.65","3.81","-0.51","1.60","102.70","1.20","10.40","-0.90","0.50","72.90","0.90","10.60","-1.70","-0.10","29.80","1.90","10.00","1.00","1.90"
"1.67","0.30","2.50","5.40","3.20","-3.60","5.43","54.40","81.00","70.00","-1.90","3.90","10.80","0.00","1.00","7.50","6/28/2023","1.80","-3.73","-1.50","-7.77","0.00","0.37","5.20","4.05","23.14","3.30","72851.00","11.74","3.77","-0.57","1.40","104.90","2.10","14.30","0.90","3.90","74.60","2.30","14.90","1.40","4.30","30.30","1.80","12.90","-0.10","2.90"
"0.96","0.40","3.30","5.70","3.10","0.00","5.10","55.80","87.40","70.00","-1.90","3.90","10.20","1.00","1.00","8.50","7/28/2023","1.25","-3.53","-0.70","-4.20","1.45","0.37","-1.90","2.97","36.52","3.30","76604.00","9.37","3.73","-0.63","0.60","107.00","2.00","18.10","-0.10","3.80","76.10","2.00","19.30","-0.30","4.40","30.90","2.00","15.40","0.20","2.50"
"1.19","0.60","4.30","5.10","3.00","4.10","4.50","53.30","92.10","72.00","-1.90","3.90","11.10","1.00","1.00","12.00","8/28/2023","1.20","-2.78","0.30","0.17","2.73","0.43","-7.50","3.18","35.02","3.30","71419.00","8.12","3.69","-0.69","-0.40","109.00","1.90","22.00","-0.10","3.90","77.50","1.80","24.10","-0.20","4.80","31.50","2.00","17.30","0.00","1.90"
"1.19","0.30","5.20","5.20","3.00","10.60","5.00","55.90","96.20","75.00","-1.90","3.90","11.50","0.00","1.00","13.00","9/28/2023","2.10","-1.75","1.20","4.90","4.03","0.43","-11.60","3.67","36.50","3.40","69439.00","8.31","3.66","-0.66","-1.30","112.50","3.20","23.20","1.30","1.20","80.40","3.70","25.40","1.90","1.30","32.10","1.80","18.20","-0.20","0.90"
"1.11","0.90","6.00","5.60","3.00","16.70","4.63","54.70","97.90","77.00","-1.90","3.90","11.70","1.00","1.00","15.00","10/28/2023","0.50","-0.65","2.00","10.47","5.07","0.60","-14.90","3.70","37.98","3.40","70922.00","6.21","3.62","-0.62","-2.10","115.60","2.80","24.40","-0.40","1.20","82.50","2.60","26.00","-1.10","0.60","33.10","3.20","20.70","1.40","2.50"
"1.24","0.80","6.70","5.10","2.90","21.60","4.73","53.60","94.80","78.00","-1.90","3.90","11.20","0.00","0.00","15.00","11/28/2023","0.60","1.00","2.70","16.30","5.35","0.67","-17.10","3.24","32.63","3.50","73830.00","9.08","3.58","-0.68","-2.80","118.00","2.10","26.50","-0.70","2.10","83.90","1.80","28.20","-0.80","2.20","34.10","2.90","22.40","-0.30","1.70"
"1.19","1.10","7.50","4.50","2.90","21.90","3.57","52.40","90.30","74.00","-1.90","3.90","12.20","0.00","1.00","16.00","12/28/2023","1.50","2.38","3.50","20.07","5.20","0.93","-18.40","3.14","29.71","3.50","73383.00","6.47","3.54","-0.64","-3.60","119.90","1.60","25.00","-0.50","-1.50","85.10","1.30","25.60","-0.50","-2.60","34.80","2.20","23.80","-0.70","1.40"
"2.03","0.70","7.40","4.40","3.00","19.20","3.90","55.70","90.90","70.00","-1.90","3.90","14.20","0.00","0.00","16.00","1/28/2024","6.30","3.10","3.40","20.90","4.98","0.87","-19.00","3.35","20.78","3.40","103815.00","6.55","3.50","-0.50","-3.50","122.10","1.90","26.20","0.30","1.20","86.80","2.00","27.00","0.70","1.40","35.40","1.60","24.30","-0.60","0.50"
"1.75","0.90","7.40","4.60","2.90","19.40","4.40","55.10","90.00","68.00","-1.70","24.10","12.70","1.00","1.00","16.00","2/28/2024","-0.50","3.18","3.40","20.17","4.90","0.90","-18.90","3.09","19.67","3.60","75034.00","7.81","3.40","-0.50","16.70","123.90","1.50","24.60","-0.40","-1.60","88.50","2.00","25.20","0.00","-1.80","35.50","0.30","23.10","-1.30","-1.20"
"1.67","0.70","7.70","7.70","2.80","19.50","4.33","52.20","91.90","70.00","-1.70","24.10","11.90","0.00","1.00","16.00","3/28/2024","1.60","3.18","3.70","19.37","5.32","0.77","-17.90","3.15","14.57","3.30","78432.00","9.39","3.38","-0.58","16.40","124.40","0.30","25.10","-1.20","0.50","88.70","0.20","25.80","-1.80","0.60","35.70","0.60","23.30","0.30","0.20"
"1.62","0.40","7.70","4.20","2.70","19.10","3.33","52.70","92.70","72.00","-1.70","24.10","11.50","1.00","1.00","16.00","4/28/2024","0.20","3.25","3.70","19.33","5.08","0.67","-16.50","3.48","12.20","3.30","87740.00","11.90","3.35","-0.65","16.40","125.80","1.20","24.00","0.90","-1.10","89.90","1.30","24.30","1.10","-1.50","36.00","0.80","23.10","0.20","-0.20"
"2.10","0.50","7.80","4.40","2.60","18.40","2.27","51.90","92.60","68.00","-1.70","24.10","11.00","0.00","0.00","16.00","5/28/2024","3.50","3.43","3.80","19.00","4.97","0.53","-14.80","3.36","9.56","3.10","83875.00","6.60","3.33","-0.73","16.30","128.30","2.00","25.00","0.80","1.00","91.70","2.10","25.80","0.80","1.50","36.60","1.80","23.00","1.00","-0.10"
"1.75","0.70","8.30","4.50","2.60","16.20","2.00","51.40","90.00","65.00","-1.70","24.10","11.70","0.00","1.00","16.00","6/28/2024","-0.60","4.23","4.30","17.90","4.97","0.53","-13.60","3.27","5.62","3.20","86384.00","6.88","3.30","-0.70","15.80","130.50","1.70","24.50","-0.30","-0.50","93.30","1.80","25.20","-0.30","-0.60","37.20","1.60","22.80","-0.20","-0.20"
"0.87","0.60","8.60","3.00","2.40","14.00","1.03","49.80","88.10","66.00","-1.70","24.10","11.90","1.00","1.00","18.00","7/28/2024","1.00","4.48","4.60","16.20","4.73","0.60","-11.60","2.97","-4.63","3.60","89145.00","4.37","3.27","-0.87","15.50","133.00","1.90","24.40","0.20","-0.10","95.20","2.00","25.10","0.20","-0.10","37.90","1.80","22.60","0.20","-0.20"
"1.07","1.10","9.10","3.50","2.40","13.70","1.03","51.90","86.70","64.00","-1.70","24.10","12.40","0.00","0.00","18.00","8/28/2024","0.70","4.98","5.10","14.63","4.55","0.80","-8.80","2.89","-12.63","3.70","85017.00","6.54","3.25","-0.85","15.00","133.90","0.60","22.80","-1.30","-1.60","95.00","-0.20","22.60","-2.20","-2.50","38.90","2.60","23.30","0.80","0.70"
"1.10","0.20","9.10","2.40","2.40","10.20","1.27","52.10","90.40","62.00","-1.70","24.10","12.90","0.00","1.00","19.00","9/28/2024","1.80","5.25","5.10","12.63","3.67","0.63","-6.20","2.53","-13.23","3.80","82218.00","5.90","3.21","-0.81","15.00","136.10","1.70","21.10","1.10","-1.70","97.00","2.10","20.60","2.30","-2.00","39.20","0.80","22.10","-1.80","-1.20"
"1.28","0.50","8.60","3.20","2.40","5.60","1.13","49.40","92.90","65.00","-1.70","24.10","12.50","1.00","1.00","21.00","10/28/2024","1.30","5.53","4.60","9.83","3.50","0.60","-4.40","2.44","-11.72","4.10","84324.00","6.90","3.17","-0.77","15.50","138.90","2.00","20.20","0.30","-0.90","99.30","2.40","20.40","0.30","-0.20","39.60","1.10","19.70","0.30","-2.40"
"0.92","0.80","8.50","3.20","2.30","2.70","0.80","50.90","97.40","64.00","-1.70","24.10","13.40","0.00","0.00","21.00","11/28/2024","1.30","6.58","4.50","6.17","3.30","0.50","-3.30","2.60","-2.93","4.40","86582.00","5.37","3.13","-0.83","15.60","141.00","1.60","19.50","-0.40","-0.70","101.20","2.00","20.60","-0.40","0.20","39.80","0.50","16.90","-0.60","-2.80"
"1.37","1.40","8.90","3.60","2.30","3.90","0.97","52.60","102.90","67.00","-1.70","24.10","13.40","0.00","1.00","21.00","12/28/2024","2.10","6.95","4.90","4.07","3.15","0.90","-3.40","2.75","6.99","4.70","86399.00","5.44","3.09","-0.79","15.20","143.70","1.90","19.90","0.30","0.40","103.70","2.50","21.90","0.50","1.30","40.00","0.50","14.90","0.00","-2.00"
"2.13","1.30","9.50","4.50","2.30","7.90","1.53","51.10","105.90","66.00","-1.70","24.10","13.90","0.00","0.00","21.00","1/28/2025","5.60","7.45","5.50","4.83","3.40","1.17","-3.60","2.89","8.65","5.00","128665.00","11.04","3.05","-0.75","14.60","146.00","1.50","19.50","-0.40","-0.40","106.60","2.80","22.80","0.30","0.90","39.40","-1.60","11.30","-2.10","-3.60"
"1.92","1.20","9.90","3.00","2.40","9.70","2.80","54.70","98.90","62.00","-1.60","6.70","14.00","1.00","1.00","21.00","2/28/2025","-0.60","7.70","5.90","7.17","3.32","1.30","-5.90","3.00","2.90","5.40","88981.00","8.19","3.02","-0.62","-3.20","145.70","-0.20","17.50","-1.70","-2.00","106.70","0.10","20.60","-2.70","-2.20","38.90","-1.10","9.80","0.50","-1.50"
"1.78","0.80","10.10","0.80","2.40","9.80","2.07","50.40","89.80","60.00","-1.60","6.70","13.70","0.00","1.00","21.00","3/28/2025","1.00","7.33","6.10","9.13","3.05","1.10","-0.40","2.82","-9.58","5.80","89646.00","3.70","2.99","-0.59","-3.40","144.60","-0.70","16.30","-0.50","-1.20","105.90","-0.80","19.40","-0.90","-1.20","38.70","-0.40","8.60","0.70","-1.20"
"1.40","0.70","10.30","1.10","2.30","5.90","1.40","49.10","84.80","58.00","-1.60","6.70","12.90","1.00","1.00","21.00","4/28/2025","-1.00","7.25","6.30","8.47","2.70","0.90","4.50","2.39","-17.76","5.50","97645.00","0.49","2.96","-0.66","-3.60","143.90","-0.50","14.40","0.20","-1.90","105.30","-0.50","17.10","0.30","-2.30","38.60","-0.30","7.40","0.10","-1.20"
"1.33","0.40","10.20","1.90","2.30","2.70","-0.23","49.80","82.40","62.00","-1.60","6.70","13.10","0.00","0.00","21.00","5/28/2025","0.90","7.38","6.20","6.13","2.48","0.63","8.20","2.31","-21.04","5.50","97375.00","5.40","2.93","-0.63","-3.50","144.40","0.30","12.50","0.80","-1.90","105.70","0.40","15.20","0.90","-1.90","38.70","0.10","5.70","0.40","-1.70"
"1.08","0.40","9.90","1.40","2.20","0.30","0.10","51.40","79.10","66.00","-2.60","6.70","13.40","0.00","1.00","20.00","6/28/2025","0.60","7.58","5.90","2.97","2.12","0.50","10.70","2.35","-22.17","5.40","99422.00","4.69","2.89","-0.69","-3.20","145.80","1.00","11.70","0.70","-0.80","107.10","1.30","14.70","0.90","-0.50","38.70","0.10","4.10","0.00","-1.60"
"0.27","0.20","9.40","1.10","2.20","0.10","-0.10","48.50","78.60","69.00","-2.60","6.70","13.00","1.00","1.00","18.00","7/28/2025","0.70","7.48","5.40","1.03","1.55","0.33","12.10","2.67","-19.43","5.80","103183.00","5.85","2.84","-0.64","-2.70","146.40","0.40","10.10","-0.60","-1.60","107.60","0.50","13.00","-0.80","-1.70","38.90","0.40","2.60","0.30","-1.50"
"0.51","0.60","8.80","0.40","2.20","-0.30","-0.77","47.80","78.80","65.20","-2.60","6.70","13.00","0.00","0.00","18.00","8/28/2025","0.84","6.90","4.80","0.03","1.12","0.40","12.80","2.70","-16.55","6.00","99305.00","7.51","2.80","-0.60","-2.10","147.00","0.40","9.80","0.00","-0.30","108.20","0.50","13.80","0.00","0.80","38.90","0.00","0.00","-0.40","-2.60"
"0.55","-0.40","8.10","0.40","2.10","0.40","-1.53","49.10","80.20","62.10","-2.60","6.70","13.50","0.00","1.00","17.00","9/28/2025","1.27","6.13","4.10","0.07","1.05","0.13","13.30","2.92","-18.40","6.10","92866.00","4.35","2.75","-0.65","-1.40","149.00","1.40","9.50","1.00","-0.30","110.20","1.90","13.70","1.40","-0.10","38.80","-0.10","-0.90","-0.10","-0.90"
"0.68","0.30","8.00","0.90","2.20","-0.40","-2.17","46.60","82.40","58.40","-2.60","6.70","12.60","1.00","1.00","16.50","10/28/2025","-0.25","5.03","4.00","-0.10","1.02","0.17","13.50","3.01","-18.20","6.40","96182.00","5.56","2.71","-0.51","-1.30","151.50","1.70","9.10","0.30","-0.40","112.40","2.00","13.20","0.10","-0.50","39.20","0.80","-1.20","0.90","-0.30"
"0.78","0.50","7.70","1.60","2.20","0.70","-1.37","50.20","81.40","54.90","-2.60","6.70","12.60","0.00","0.00","16.50","11/28/2025","1.50","4.35","3.70","0.23","0.97","0.13","14.50","2.86","-25.29","7.20","99707.00","6.96","2.68","-0.48","-1.00","152.80","0.80","8.30","-0.90","-0.80","113.40","0.90","12.10","-1.10","-1.10","39.40","0.50","-1.10","-0.30","0.10"
"0.89","0.40","6.60","0.10","2.10","-1.10","-1.03","50.10","80.20","51.20","-2.60","6.70","13.30","1.00","1.00","16.00","12/28/2025","1.30","4.08","2.60","-0.27","0.75","0.40","15.70","2.74","-33.13","8.00","98193.00","6.55","2.64","-0.54","0.10","155.30","1.60","8.00","0.80","-0.30","115.60","1.90","11.50","1.00","-0.60","39.70","0.80","-0.80","0.30","0.30"
"1.43","0.30","5.60","1.90","2.20","-3.30","0.10","50.00","78.50","54.60","-2.60","6.70","13.70","0.00","0.00","16.00","1/28/2026","3.90","3.50","1.60","-1.23","0.88","0.40","17.10","2.68","-38.74","8.60","139727.00","2.50","2.60","-0.40","1.10","157.20","1.20","7.70","-0.40","-0.30","117.30","1.50","10.00","-0.40","-1.50","39.90","0.40","1.30","-0.40","2.10"
"1.07","1.60","6.00","-2.10","2.20","-5.00","0.73","52.10","78.10","57.20","-1.60","4.20","13.70","1.00","1.00","15.50","2/28/2026","-1.30","3.20","2.00","-3.13","0.47","0.77","33.70","2.39","-31.10","9.60","100360.00","6.29","2.68","-0.48","-1.80","156.60","-0.40","7.50","-1.60","-0.20","116.50","-0.60","9.20","-2.10","-0.80","40.00","0.40","2.80","0.00","1.50"
"1.28","0.70","5.90","0.90","2.20","-5.20","0.97","50.80","76.70","94.00","-1.60","4.20","13.10","0.00","1.00","15.00","3/28/2026","2.50","2.68","1.90","-4.50","0.55","0.87","28.80","2.41","-21.06","9.80","101600.00","6.93","2.66","-0.46","-1.70","155.50","-0.70","7.50","-0.30","0.00","115.20","-1.20","8.80","-0.60","-0.40","40.30","0.60","3.90","0.20","1.10"
