rates

SECID;SHORTNAME;NAME;TYPENAME;ISIN;REGNUMBER;CLASS_UNIT;LISTLEVEL;FACEVALUE;FACEUNIT;ISSUESIZE;IS_COLLATERAL;IS_EXTERNAL;PRIMARY_BOARDID;PRIMARY_BOARD_TITLE;IS_RII;INCLUDEDBYMOEX;IS_QUALIFIED_INVESTORS;HIGH_RISK;EVENINGSESSION;MORNINGSESSION;WEEKENDSESSION;SUSPENSION_LISTING;ISSUEDATE;REGISTRYCLOSEDATE;DIVIDENDVALUE;DIVIDENDYIELD;REGISTRYCLOSETYPE;SECURITYCAPITALIZATION;EMITENTCAPITALIZATION;EMITENTNAME;INN;LOTSIZE;PRICE;PRICE_RUB;RTL1;RTH1;RTL2;RTH2;RTL3;RTH3;DISCOUNT1;LIMIT1;DISCOUNT2;LIMIT2;DISCOUNT3;DISCOUNTL0;DISCOUNTH0;FULLCOVERED;FULL_COVERED_LIMIT
ETLN;ЭталонГруп;МКПАО Эталон Груп;Акции обыкновенные;RU000A10C1L6;1-01-17142-A;;2;0,00562;RUB;783179820;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;03.02.2020;2021-12-10;;;закрытие реестра;22148325309.6;22148325309.6;"Международная компания публичное акционерное общество ""Эталон Груп""";3900042827;1;28,36;28,36;19,0;37,72;14,18;42,54;7,09;49,63;33,0;421790;50,0;2108950;75,0;9,04000;11,57000;0;0
EUTR;ЕвроТранс;ЕвроТранс ао;Акции обыкновенные;RU000A1002V2;1-01-80110-H;;1;0,05;RUB;159148665;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;21.11.2023;2026-01-14;;;закрытие реестра;13320743260.5;13320743260.5;"Публичное акционерное общество ""ЕвроТранс""";5029169023;1;84,1;84,1;25,23;142,97;12,62;155,59;0,0;168,2;70,0;276346;85,0;1381730;100,0;11,64000;7,72000;0;0
FEES;Россети;"""ФСК - Россети"" ПАО";Акции обыкновенные;RU000A0JPNN9;1-01-65018-D;;1;0,5;RUB;2113460101477;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;16.07.2008;2021-07-16;0.016132865449;0.0778;закрытие реестра;147688591891.21;147688591891.21;"Публичное акционерное общество ""Федеральная сетевая компания - Россети""";4716016979;10000;0,069914;0,069914;0,055931;0,083897;0,051736;0,088092;0,046842;0,092986;20,0;493760952;26,0;2468804759;33,0;7,19000;8,87000;0;0
FESH;ДВМП ао;ДВ морское пароходство ПАО ао;Акции обыкновенные;RU0008992318;1-03-00032-A;;2;1,0;RUB;2951250000;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;28.08.2008;;;;;191713200000.0;191713200000.0;"Публичное акционерное общество ""Дальневосточное морское пароходство""";2540047110;10;66,5372;66,5372;49,9029;83,1715;45,9107;87,1637;41,2531;91,8213;25,0;360964;31,0;1804820;38,0;9,44000;14,45000;0;0
FIXR;Фикс Прайс;ПАО Фикс Прайс;Акции обыкновенные;RU000A10B5G8;1-01-08699-G;;1;0,001;RUB;100000000000;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;09.07.2025;;;;;67240000000.0;67240000000.0;"Публичное акционерное общество ""Фикс Прайс""";7743462664;1000;0,67;0,67;0,45;0,89;0,34;1,01;0,17;1,17;33,0;36919188;50,0;184595940;75,0;6,75000;10,95000;0;0
FLOT;Совкомфлот;Совкомфлот ао;Акции обыкновенные;RU000A0JXNU8;1-01-10613-A;;1;1,0;RUB;2374993901;1;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;07.10.2020;2024-07-20;11.27;0.1025;закрытие реестра;189999512080.0;189999512080.0;"публичное акционерное общество ""Современный коммерческий флот""";7702060116;10;80,049;80,049;64,039;96,059;59,236;100,862;40,025;120,074;20,0;651456;26,0;3257280;50,0;7,65000;8,23000;0;0
GAZA;ГАЗ ао;ГАЗ ПАО ао;Акции обыкновенные;RU0009034268;1-01-00029-A;;3;1,0;RUB;18520260;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;1;1;1;1;0;16.12.2011;2021-07-19;;;закрытие реестра;8204475180.0;8758258680.0;"Публичное акционерное общество ""ГАЗ""";5200000046;10;448,659;448,659;0,0;897,318;0,0;897,318;0,0;897,318;100,0;;;;;7,33000;11,74000;1;0
GAZAP;ГАЗ ап;ГАЗ ПАО ап;Акции привилегированные;RU000A0ZYHF5;2-02-00029-A;;3;1,0;RUB;1453500;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;1;1;1;1;0;30.03.2018;2021-07-19;4.27;0.0112;закрытие реестра;553783500.0;8758258680.0;"Публичное акционерное общество ""ГАЗ""";5200000046;10;380,211;380,211;0,0;760,422;0,0;760,422;0,0;760,422;100,0;;;;;6,71000;13,28000;1;0
GAZC;ГАЗКОН-ао;ГАЗКОН (ПАО) ао;Акции обыкновенные;RU000A0JQG86;1-01-09870-A;;3;10,0;RUB;225381601;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;0;0;0;0;28.09.2011;2025-12-27;;;закрытие реестра;148526475059.0;148526475059.0;"Публичное акционерное общество ""ГАЗКОН""";7726510759;10;673,903;673,903;0,0;1347,806;0,0;1347,806;0,0;1347,806;100,0;;;;;12,00000;11,00000;1;0
GAZP;ГАЗПРОМ ао;"""Газпром"" (ПАО) ао";Акции обыкновенные;RU0007661625;1-02-00028-A;;1;5,0;RUB;23673512900;1;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;23.01.2006;2022-10-11;51.03;0.3131;закрытие реестра;2931491102407.0;2931491102407.0;"Публичное акционерное общество ""Газпром""";7736050003;10;123,616;123,616;102,601;144,631;95,184;152,048;86,531;160,701;17,0;14243245;23,0;71216225;30,0;8,52000;12,23000;0;0
GAZS;ГАЗ-сервис;ГАЗ-сервис (ПАО) ао;Акции обыкновенные;RU000A0JQG78;1-01-09871-A;;3;10,0;RUB;206508967;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;0;0;0;0;28.09.2011;2025-12-27;;;закрытие реестра;173261023313.0;173261023313.0;"Публичное акционерное общество ""ГАЗ-сервис""";7726510741;10;899,536;899,536;0,0;1799,072;0,0;1799,072;0,0;1799,072;100,0;;;;;12,00000;11,00000;1;0
GAZT;ГАЗ-Тек ао;ГАЗ-Тек ПАО ао;Акции обыкновенные;RU000A0JS199;1-01-12996-A;;3;100,0;RUB;471428300;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;0;0;0;0;26.01.2012;2025-12-27;;;закрытие реестра;819813813700.0;819813813700.0;"Публичное акционерное общество ""ГАЗ-Тек""";7705821841;10;80,0;80,0;0,0;160,0;0,0;160,0;0,0;160,0;100,0;;;;;12,00000;11,00000;1;0
GCHE;ЧеркизГ-ао;Группа Черкизово ПАО-ао;Акции обыкновенные;RU000A0JL4R1;1-02-10797-A;;3;0,01;RUB;42222042;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;08.04.2008;2026-04-07;;;закрытие реестра;149170474386.0;149170474386.0;"Публичное акционерное общество ""Группа Черкизово""";7718560636;1;3522,88;3522,88;2360,33;4685,43;1761,44;5284,32;880,72;6165,04;33,0;2836;50,0;14180;75,0;6,53000;7,76000;0;0
GECO;iГЕНЕТИКО;ЦГРМ ГЕНЕТИКО ао;Акции обыкновенные;RU000A105BN4;1-01-87198-H;;3;0,01;RUB;90000000;0;0;TQBR;Т+: Акции и ДР - безадрес.;R;;0;0;1;1;1;0;25.04.2023;;;;;1784700000.0;1784700000.0;"Публичное акционерное общество ""Центр Генетики и Репродуктивной Медицины ""ГЕНЕТИКО""";9731078633;10;19,845;19,845;5,954;33,737;3,969;35,721;0,992;38,698;70,0;52097;80,0;260485;95,0;6,60000;6,05000;0;0
GEMA;iММЦБ ао;ПАО ММЦБ ао;Акции обыкновенные;RU000A100GC7;1-01-85932-H;;3;0,01;RUB;14929920;0;0;TQBR;Т+: Акции и ДР - безадрес.;R;;0;0;1;1;1;0;25.07.2019;2026-06-15;;;закрытие реестра (рекомендуемая);1891620864.0;1891620864.0;"Публичное акционерное общество  ""Международный Медицинский Центр Обработки и Криохранения Биоматериалов""";7736317497;10;127,1;127,1;0,0;254,2;0,0;254,2;0,0;254,2;100,0;;;;;7,22000;6,19000;1;0
GEMC;МКПАО ЮМГ;Юнайтед Медикал Груп ПАО;Акции обыкновенные;RU000A107JE2;1-01-16774-A;;1;0,03721;RUB;90000000;0;1;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;15.07.2021;2021-12-15;;;закрытие реестра;71955000000.0;71955000000.0;Международная Компания Публичное Акционерное Общество Юнайтед Медикал Груп;3900020125;1;804,39;804,39;538,94;1069,84;402,2;1206,59;201,1;1407,68;33,0;15116;50,0;75580;75,0;6,82000;7,55000;0;0
GLRX;ГЛОРАКС;ПАО ГЛОРАКС;Акции обыкновенные;RU000A10CRQ4;1-01-16806-A;;2;0,004;RUB;282812500;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;31.10.2025;;;;;16109000000.0;16109000000.0;"Публичное акционерное общество ""ГЛОРАКС""";9729387137;1;57,13;57,13;28,57;85,7;14,28;99,98;2,86;111,4;50,0;156250;75,0;781250;95,0;7,03000;6,86000;1;0
GMKN;ГМКНорНик;"ГМК ""Нор.Никель"" ПАО ао";Акции обыкновенные;RU0007288411;1-01-40155-F;;1;0,01;RUB;15286339700;1;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;26.12.2006;2023-12-26;915.33;0.0558;закрытие реестра;2030943092542.0;2030943092542.0;"Публичное акционерное общество ""Горно-металлургическая компания ""Норильский никель""";8401005730;10;133,48;133,48;110,79;156,17;102,78;164,18;93,44;173,52;17,0;3349532;23,0;16747660;30,0;6,53000;8,18000;0;0
GTRK;ГТМ ао;"ПАО ""ГТМ"" ао";Акции обыкновенные;RU000A0ZYD22;1-01-84907-H;;3;100,0;RUB;58462120;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;1;1;1;1;0;03.11.2017;2019-06-30;1.72;0.0249;закрытие реестра;4396351424.0;4396351424.0;"Публичное акционерное общество ""ГЛОБАЛТРАК МЕНЕДЖМЕНТ""";9701082537;10;75,343;75,343;0,0;150,686;0,0;150,686;0,0;150,686;100,0;;;;;14,09000;9,89000;1;0
HEAD;Хэдхантер;МКПАО Хэдхантер;Акции обыкновенные;RU000A107662;1-01-16755-A;;1;1,0;RUB;47184918;1;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;16.08.2024;2026-05-12;;;закрытие реестра;127493648436.0;127493648436.0;"Международная компания публичное акционерное общество ""Хэдхантер""";3900016369;1;2701,99;2701,99;2026,49;3377,49;1864,37;3539,61;1351,0;4052,99;25,0;34202;31,0;171010;50,0;8,17000;7,34000;0;0
HIMCP;Химпром ап;Химпром ПАО ап;Акции привилегированные;RU0009099006;2-01-55076-D;;3;1,0;RUB;229631402;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;14.12.2011;2022-07-11;0.374812;0.0444;закрытие реестра;4261958821.12;4261958821.12;"Публичное акционерное общество ""Химпром""";2124009521;100;18,466;18,466;0,0;36,932;0,0;36,932;0,0;36,932;100,0;;;;;7,83000;18,52000;1;0
HNFG;ХЭНДЕРСОН;ХЭНДЕРСОН ао;Акции обыкновенные;RU000A106XF2;1-01-03109-G;;2;50,0;RUB;40444445;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;02.11.2023;2026-06-08;;;закрытие реестра (рекомендуемая);16282933557.0;16282933557.0;ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ХЭНДЕРСОН ФЭШН ГРУПП;5047265516;1;398,96;398,96;267,3;530,62;199,48;598,44;99,74;698,18;33,0;17282;50,0;86410;75,0;5,61000;6,19000;0;0
HYDR;РусГидро;"ПАО ""РусГидро""";Акции обыкновенные;RU000A0JPKH7;1-01-55038-E;;1;1,0;RUB;444793377038;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;22.05.2008;2025-07-11;0.075648608;0.1733;;177161202074.24;177161202074.24;"Публичное акционерное общество ""Федеральная гидрогенерирующая компания - РусГидро""";2460066195;1000;0,40154;0,40154;0,32123;0,48185;0,29714;0,50594;0,26903;0,53405;20,0;58961671;26,0;294808355;33,0;6,18000;7,49000;0;0
IGST;Ижсталь2ао;Ижсталь ПАО ао 2в.;Акции обыкновенные;RU0002155292;1-02-30078-D;;3;1000,0;RUB;800729;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;08.12.2011;;;;;3315018060.0;4211835660.0;"Публичное акционерное общество ""Ижсталь""";1826000655;1;4176,83;4176,83;0,0;8353,66;0,0;8353,66;0,0;8353,66;100,0;;;;;9,21000;21,62000;1;0
IGSTP;Ижсталь ап;Ижсталь ПАО ап;Акции привилегированные;RU0002155300;2-02-30078-D;;3;1000,0;RUB;266910;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;08.12.2011;;;;;896817600.0;4211835660.0;"Публичное акционерное общество ""Ижсталь""";1826000655;1;3437,39;3437,39;0,0;6874,78;0,0;6874,78;0,0;6874,78;100,0;;;;;9,31000;22,11000;1;0
IRAO;ИнтерРАОао;"""Интер РАО"" ПАО ао";Акции обыкновенные;RU000A0JPNM1;1-04-33498-E;;1;2,80977;RUB;104400000000;1;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;01.12.2009;2026-06-09;;;закрытие реестра (рекомендуемая);334497600000.0;334497600000.0;"Публичное акционерное общество ""Интер РАО ЕЭС""";2320109650;100;3,2127;3,2127;2,4095;4,0159;2,2168;4,2086;1,9919;4,4335;25,0;25473862;31,0;127369310;38,0;6,44000;7,56000;0;0
IRKT;Яковлев-3;"""Яковлев"" ПАО ак.об.-3";Акции обыкновенные;RU0006752979;1-03-00040-A;;3;3,0;RUB;12051279624;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;11.01.2005;2018-07-17;1.14;0.0475;;264164049358.08;264164049358.08;"Публичное акционерное общество ""Яковлев""";3807002509;100;22,1692;22,1692;14,8534;29,485;11,0846;33,2538;5,5423;38,7961;33,0;793326;50,0;3966630;75,0;9,94000;15,26000;0;0
IVAT;iИВА;ПАО ИВА ао;Акции обыкновенные;RU000A108GD8;1-01-10876-P;;2;0,1;RUB;100000000;0;0;TQBR;Т+: Акции и ДР - безадрес.;R;;0;0;1;1;1;0;04.06.2024;2025-07-14;3.0;0.0245;;12550000000.0;12550000000.0;"Публичное акционерное общество ""ИВА""";1683020450;1;126,25;126,25;94,69;157,81;87,11;165,39;78,28;174,23;25,0;185053;31,0;925265;38,0;10,34000;22,36000;0;0
JNOS;Славн-ЯНОС;Славнефть-ЯНОС (ПАО) ао;Акции обыкновенные;RU0009100895;1-01-00199-A;;3;1,0;RUB;932654723;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;14.10.2008;2025-07-15;;;закрытие реестра;31990056998.9;36597366385.58;"Публичное акционерное общество ""Славнефть-Ярославнефтеоргсинтез""";7601001107;100;33,8143;33,8143;0,0;67,6286;0,0;67,6286;0,0;67,6286;100,0;;;;;14,13000;17,44000;1;0
JNOSP;Слав-ЯНОСп;Славнефть-ЯНОС (ПАО) ап;Акции привилегированные;RU0009101927;2-01-00199-A;;3;1,0;RUB;310884574;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;22.07.2010;2025-07-15;0.01;0.001;закрытие реестра;4607309386.68;36597366385.58;"Публичное акционерное общество ""Славнефть-Ярославнефтеоргсинтез""";7601001107;100;14,5889;14,5889;0,0;29,1778;0,0;29,1778;0,0;29,1778;100,0;;;;;15,29000;17,33000;1;0
KAZT;Куйбазот;Куйбышевазот ПАО ао;Акции обыкновенные;RU000A0B9BV2;1-01-00067-A;;3;1,0;RUB;176582530;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;14.12.2011;2025-09-23;;;закрытие реестра;72928584890.0;74263382007.5;"Публичное акционерное общество ""КуйбышевАзот""";6320005915;10;414,485;414,485;0,0;828,97;0,0;828,97;0,0;828,97;100,0;;;;;7,34000;8,67000;1;0
KAZTP;Куйбазот-п;Куйбышевазот ПАО ап;Акции привилегированные;RU000A0B9BW0;2-01-00067-A;;3;1,0;RUB;3204795;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;14.12.2011;2025-09-23;;;закрытие реестра;1334797117.5;74263382007.5;"Публичное акционерное общество ""КуйбышевАзот""";6320005915;10;418,682;418,682;0,0;837,364;0,0;837,364;0,0;837,364;100,0;;;;;6,80000;8,79000;1;0
KBSB;ТНСэКубань;ТНС энерго Кубань ПАО ао;Акции обыкновенные;RU000A0JNJ11;1-01-55218-E;;3;0,56;RUB;17869440;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;08.02.2008;2025-06-30;50.36531643;0.0934;закрытие реестра;14903112960.0;14903112960.0;"Публичное акционерное общество ""ТНС энерго Кубань""";2308119595;10;819,378;819,378;0,0;1638,756;0,0;1638,756;0,0;1638,756;100,0;;;;;11,68000;20,73000;1;0
KCHE;КамчатЭ ао;Камчатскэнерго ПАО ао;Акции обыкновенные;RU0006753498;1-02-00235-A;;3;0,1;RUB;58294409860;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;14.03.2008;;;;;21219165189.04;21342732074.14;"Публичное акционерное общество энергетики и электрификации ""Камчатскэнерго""";4100000668;10000;0,363724;0,363724;0,0;0,727448;0,0;0,727448;0,0;0,727448;100,0;;;;;9,22000;21,74000;1;0
KCHEP;КамчатЭ ап;Камчатскэнерго ПАО ап;Акции привилегированные;RU0006753480;2-02-00235-A;;3;0,1;RUB;183062052;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;09.07.2008;;;;;123566885.1;21342732074.14;"Публичное акционерное общество энергетики и электрификации ""Камчатскэнерго""";4100000668;10000;0,68448;0,68448;0,0;1,36896;0,0;1,36896;0,0;1,36896;100,0;;;;;10,83000;22,57000;1;0
KFBA;ИНГРАД ао;ИНГРАД ПАО ао;Акции обыкновенные;RU000A0DJ9B4;1-01-50020-A;;3;1000,0;RUB;41220793;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;30.03.2020;2024-07-09;48.55;;закрытие реестра;73373011540.0;73373011540.0;"Публичное акционерное общество ""ИНГРАД""";7702336269;1;1778,65;1778,65;0,0;3557,3;0,0;3557,3;0,0;3557,3;100,0;;;;;8,90000;9,76000;1;0
KGKC;КурганГКао;Курганская генер.комп.ПАО ао;Акции обыкновенные;RU000A0JP120;1-01-55226-E;;3;7,2;RUB;122453406;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;26.09.2012;2025-07-03;1.30230024868398;0.0332;закрытие реестра;5289987139.2;6026911401.6;"Публичное акционерное общество ""Курганская генерирующая компания""";4501122913;10;43,559;43,559;0,0;87,118;0,0;87,118;0,0;87,118;100,0;;;;;6,89000;7,48000;1;0
KGKCP;КурганГКап;Курганская генер. комп. ПАО ап;Акции привилегированные;RU000A0JP138;2-01-55226-E;;3;7,2;RUB;14393052;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;22.10.2012;2025-07-03;6.28976390233287;0.1243;закрытие реестра;736924262.4;6026911401.6;"Публичное акционерное общество ""Курганская генерирующая компания""";4501122913;10;50,753;50,753;0,0;101,506;0,0;101,506;0,0;101,506;100,0;;;;;8,15000;8,18000;1;0
KLSB;КалужскСК;"ао""Калужская сбыт.комп.""ПАО";Акции обыкновенные;RU000A0DKZK3;1-01-65057-D;;3;0,2;RUB;91487347;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;26.08.2005;;;;;1760216556.28;1760216556.28;"Публичное акционерное общество ""Калужская сбытовая компания""";4029030252;100;19,3653;19,3653;5,8096;32,921;3,8731;34,8575;0,9683;37,7623;70,0;311578;80,0;1557890;95,0;14,06000;20,28000;1;-378890
KLVZ;Кристалл;Алкогольная Группа Кристалл;Акции обыкновенные;RU000A107KX0;1-01-05421-G;;3;0,01;RUB;921052700;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;22.02.2024;2025-07-02;0.05;0.0145;закрытие реестра;2543947557.4;2543947557.4;"Публичное акционерное общество ""АЛКОГОЛЬНАЯ ГРУППА КРИСТАЛЛ""";9731121416;100;2,7519;2,7519;0,0;5,5038;0,0;5,5038;0,0;5,5038;100,0;;;;;7,61000;8,42000;1;-152864
KMAZ;КАМАЗ;КАМАЗ ПАО;Акции обыкновенные;RU0008959580;1-08-55010-D;;2;50,0;RUB;707229559;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;26.02.2004;2024-07-16;4.49;0.0328;закрытие реестра;48445224791.5;48445224791.5;"Публичное акционерное общество ""КАМАЗ""";1650032058;10;69,07;69,07;46,277;91,863;34,535;103,605;17,268;120,873;33,0;136150;50,0;680748;75,0;6,57000;9,14000;0;0
KMEZ;КМЗ;Ковровский механический завод;Акции обыкновенные;RU0006753613;1-02-05376-A;;3;250,0;RUB;3764600;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;07.09.2009;;;;;4028122000.0;4028122000.0;"публичное акционерное общество ""Ковровский механический завод""";3305004397;1;1051,2;1051,2;0,0;2102,4;0,0;2102,4;0,0;2102,4;100,0;;;;;7,89000;12,99000;1;0
KOGK;КоршГОК ао;Коршуновский ГОК ПАО ао;Акции обыкновенные;RU0002155359;1-01-20992-F;;3;0,01;RUB;25012600;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;28.08.2008;2024-06-25;1.0;;закрытие реестра;7638848040.0;7638848040.0;"Публичное акционерное общество ""Коршуновский горно-обогатительный комбинат""";3834002314;1;297,57;297,57;0,0;595,14;0,0;595,14;0,0;595,14;100,0;;;;;9,64000;12,89000;1;0
KRKN;СаратНПЗ;Саратовский НПЗ ПАО ао;Акции обыкновенные;RU0009100408;1-01-00248-A;;3;1,0;RUB;748012;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;08.12.2011;2025-07-08;;;закрытие реестра;7816725400.0;9522190480.0;"Публичное акционерное общество ""Саратовский нефтеперерабатывающий завод""";6451114900;1;10092,34;10092,34;0,0;20184,68;0,0;20184,68;0,0;20184,68;100,0;;;;;10,96000;15,16000;1;0
KRKNP;СаратНПЗ-п;Саратовский НПЗ ПАО ап;Акции привилегированные;RU0009100416;2-01-00248-A;;3;1,0;RUB;249337;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;08.12.2011;2025-07-08;447.54;0.0595;закрытие реестра;1705465080.0;9522190480.0;"Публичное акционерное общество ""Саратовский нефтеперерабатывающий завод""";6451114900;1;6834,81;6834,81;0,0;13669,62;0,0;13669,62;0,0;13669,62;100,0;;;;;6,83000;8,51000;1;0
KRKOP;ТКЗКК ап;ТКЗ Красный котельщик ПАО ап;Акции привилегированные;RU0009098131;2-01-30301-E;;3;1,0;RUB;71086000;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;09.12.2011;2014-07-10;;;закрытие реестра;1100411280.0;1100411280.0;"Публичное акционерное общество ""Таганрогский котлостроительный завод ""Красный котельщик""";6154023009;100;15,1885;15,1885;0,0;30,377;0,0;30,377;0,0;30,377;100,0;;;;;10,33000;20,40000;1;0
KROT;КрасОкт-ао;"""КрасныйОктябрь"" ПАО - ао";Акции обыкновенные;RU0008913850;1-02-00060-A;;3;1,0;RUB;9217583;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;09.09.2003;2024-07-09;0.1;0.0001;закрытие реестра;10572567701.0;11272978476.0;"Публичное акционерное общество ""Московская кондитерская фабрика ""Красный Октябрь""";7706043263;10;1143,132;1143,132;0,0;2286,264;0,0;2286,264;0,0;2286,264;100,0;;;;;11,91000;25,98000;1;0
KROTP;КрасОкт-1п;КрасныйОктябрь-1п;Акции привилегированные;RU0008913868;2-01-00060-A;;3;1,0;RUB;1474549;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;11.01.2005;2024-07-09;0.13;0.0002;закрытие реестра;700410775.0;11272978476.0;"Публичное акционерное общество ""Московская кондитерская фабрика ""Красный Октябрь""";7706043263;10;479,636;479,636;0,0;959,272;0,0;959,272;0,0;959,272;100,0;;;;;10,99000;25,38000;1;0
KRSB;Красэсб ао;Красноярскэнергосбыт ао;Акции обыкновенные;RU000A0HMLY1;1-01-55147-E;;3;0,02;RUB;596039612;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;23.10.2008;2026-06-22;;;закрытие реестра (рекомендуемая);13387049685.52;17277276096.08;"Публичное акционерное общество ""Красноярскэнергосбыт""";2466132221;100;22,423;22,423;0,0;44,846;0,0;44,846;0,0;44,846;100,0;;;;;7,12000;10,64000;1;0
KRSBP;Красэсб ап;Красноярскэнергосбыт ап;Акции привилегированные;RU000A0HMLZ8;2-01-55147-E;;3;0,02;RUB;168993328;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;23.10.2008;2026-06-22;;;закрытие реестра (рекомендуемая);3890226410.56;17277276096.08;"Публичное акционерное общество ""Красноярскэнергосбыт""";2466132221;100;22,9026;22,9026;0,0;45,8052;0,0;45,8052;0,0;45,8052;100,0;;;;;7,61000;10,19000;1;0
KUZB;КузнецкийБ;"Банк ""Кузнецкий"" ПАО ао";Акции обыкновенные;RU000A0JSQ66;10100609B;;3;0,01;RUB;22503490875;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;05.09.2012;2024-06-18;0.0022218775;0.045;закрытие реестра;690857169.86;690857169.86;"Публичное акционерное общество Банк ""Кузнецкий""";5836900162;10000;0,030927;0,030927;0,0;0,061854;0,0;0,061854;0,0;0,061854;100,0;;;;;9,20000;14,53000;1;0
KZOS;ОргСинт ао;"ПАО ""Органический синтез"" ао";Акции обыкновенные;RU0009089825;1-02-55245-D;;3;1,0;RUB;1785114000;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;05.12.2011;2025-07-10;4.15;0.0558;закрытие реестра;104964703200.0;106712000760.0;"Казанское публичное акционерное общество ""Органический синтез""";1658008723;10;58,256;58,256;29,128;87,384;14,564;101,948;2,913;113,599;50,0;86202;75,0;431010;95,0;6,22000;6,98000;1;0
KZOSP;ОргСинт ап;"ПАО ""Органический синтез"" ап";Акции привилегированные;RU0006753456;2-02-55245-D;;3;1,0;RUB;119596000;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;05.12.2011;2025-07-10;0.25;0.0143;закрытие реестра;1747297560.0;106712000760.0;"Казанское публичное акционерное общество ""Органический синтез""";1658008723;10;14,736;14,736;0,0;29,472;0,0;29,472;0,0;29,472;100,0;;;;;8,69000;18,72000;1;0
