rates

SECID;SHORTNAME;NAME;TYPENAME;ISIN;REGNUMBER;CLASS_UNIT;LISTLEVEL;FACEVALUE;FACEUNIT;ISSUESIZE;IS_COLLATERAL;IS_EXTERNAL;PRIMARY_BOARDID;PRIMARY_BOARD_TITLE;IS_RII;INCLUDEDBYMOEX;IS_QUALIFIED_INVESTORS;HIGH_RISK;EVENINGSESSION;MORNINGSESSION;WEEKENDSESSION;SUSPENSION_LISTING;ISSUEDATE;REGISTRYCLOSEDATE;DIVIDENDVALUE;DIVIDENDYIELD;REGISTRYCLOSETYPE;SECURITYCAPITALIZATION;EMITENTCAPITALIZATION;EMITENTNAME;INN;LOTSIZE;PRICE;PRICE_RUB;RTL1;RTH1;RTL2;RTH2;RTL3;RTH3;DISCOUNT1;LIMIT1;DISCOUNT2;LIMIT2;DISCOUNT3;DISCOUNTL0;DISCOUNTH0;FULLCOVERED;FULL_COVERED_LIMIT
ARSA;Арсагера;УК Арсагера ПАО-ао;Акции обыкновенные;RU000A0JP0Q7;1-01-03163-D;;3;1,0;RUB;123817165;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;07.04.2008;2025-06-30;0.15;0.0146;закрытие реестра;973202916.9;973202916.9;"публичное акционерное общество ""Управляющая компания ""Арсагера""";7840303927;100;7,79408;7,79408;0,0;15,58816;0,0;15,58816;0,0;15,58816;100,0;;;;;7,46000;14,28000;1;0
ASSB;АстрЭнСб;"""Астраханская ЭСК"" ПАО";Акции обыкновенные;RU000A0D8MM8;1-01-55064-E;;3;0,007;RUB;773900078;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;16.09.2005;2020-07-13;0.06;0.0767;закрытие реестра;2461002248.04;2461002248.04;"Публичное акционерное общество ""Астраханская энергосбытовая компания""";3017041554;1000;3,14761;3,14761;0,0;6,29522;0,0;6,29522;0,0;6,29522;100,0;;;;;16,03000;27,84000;1;0
ASTR;iАстра ао;Группа Астра ао;Акции обыкновенные;RU000A106T36;1-01-01286-G;;1;0,05;RUB;210000000;0;0;TQBR;Т+: Акции и ДР - безадрес.;R;;0;0;1;1;1;0;13.10.2023;2026-06-01;;;закрытие реестра (рекомендуемая);58138500000.0;58138500000.0;Публичное акционерное общество Группа Астра;7726476459;1;279,24;279,24;209,43;349,05;192,68;365,8;69,81;488,67;25,0;182929;31,0;914645;75,0;8,79000;8,24000;0;0
AVAN;Авангрд-ао;"АКБ ""АВАНГАРД"" ПАО ао";Акции обыкновенные;RU000A0DM7B3;10102879B;;3;30,0;RUB;80700000;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;09.07.2012;2026-04-28;;;закрытие реестра;50276100000.0;50276100000.0;"Акционерный Коммерческий банк ""АВАНГАРД"" - публичное акционерное общество";7702021163;1;625,52;625,52;0,0;1251,04;0,0;1251,04;0,0;1251,04;100,0;;;;;5,71000;6,03000;1;-543
BANE;Башнефт ао;Башнефть АНК ао;Акции обыкновенные;RU0007976957;1-01-00013-A;;3;1,0;RUB;147846489;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;18.11.2011;2025-07-14;147.31;0.0897;закрытие реестра;214081716072.0;244405912288.0;"Публичное акционерное общество ""Акционерная нефтяная Компания ""Башнефть""";0274051582;1;1459,46;1459,46;977,84;1941,08;890,27;2028,65;788,11;2130,81;33,0;8099;39,0;40495;46,0;8,00000;9,93000;0;0
BANEP;Башнефт ап;Башнефть АНК ап;Акции привилегированные;RU0007976965;2-01-00013-A;;3;1,0;RUB;29788012;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;18.11.2011;2025-07-14;147.31;0.1491;закрытие реестра;30324196216.0;244405912288.0;"Публичное акционерное общество ""Акционерная нефтяная Компания ""Башнефть""";0274051582;1;1023,72;1023,72;685,89;1361,55;624,47;1422,97;552,81;1494,63;33,0;17601;39,0;88005;46,0;6,39000;7,94000;0;0
BAZA;iБАЗИС;ГК БАЗИС;Акции обыкновенные;RU000A10CTQ0;1-01-36413-N;;2;1,0;RUB;165000000;0;0;TQBR;Т+: Акции и ДР - безадрес.;R;;0;0;1;1;1;0;10.12.2025;2025-12-01;;;закрытие реестра;19998000000.0;19998000000.0;"Публичное акционерное общество ""ГРУППА КОМПАНИЙ ""БАЗИС""";9722103241;10;121,308;121,308;60,654;181,962;30,327;212,289;6,065;236,551;50,0;91744;75,0;458720;95,0;7,51000;8,64000;1;0
BELU;НоваБев ао;НоваБев Групп ПАО ао;Акции обыкновенные;RU000A0HL5M1;1-01-55052-E;;1;100,0;RUB;126400000;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;20.11.2007;2025-10-18;;;закрытие реестра;45251200000.0;45251200000.0;"Публичное акционерное общество ""НоваБев Групп""";7705634425;1;355,12;355,12;220,17;490,07;198,87;511,37;174,01;536,23;38,0;110433;44,0;552165;51,0;5,87000;5,46000;0;0
BISVP;БашИнСв ап;Башинформсвязь(ПАО) ап;Акции привилегированные;RU0009100176;2-01-00011-A;;3;1,0;RUB;36165270;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;0;1;1;1;0;23.04.2010;2026-01-13;;;закрытие реестра;379012029.6;379012029.6;"Публичное акционерное общество ""Башинформсвязь""";0274018377;100;10,3821;10,3821;0,0;20,7642;0,0;20,7642;0,0;20,7642;100,0;;;;;8,23000;14,67000;1;0
BLNG;Белон ао;Белон ОАО ао;Акции обыкновенные;RU000A0J2QG8;1-06-10167-F;;3;0,01;RUB;1150000000;0;0;TQBR;Т+: Акции и ДР - безадрес.;;;0;1;1;1;1;0;16.01.2009;;;;;12270500000.0;12270500000.0;"Открытое акционерное общество ""Белон""";5410102823;100;10,6419;10,6419;0,0;21,2838;0,0;21,2838;0,0;21,2838;100,0;;;;;9,95000;17,94000;1;0
